                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                  1.821,                0.88368,                 1.0289,                 0.9528,                      1,                  0.995,                0.60178,                 1.7288,                0.78401,                 1.0775,              0.0007526,              0.0007526,              0.0007526
                     65,                 1.8639,                0.95844,                 1.0821,                 0.9528,                      1,                  0.995,                0.60178,                 1.7288,                0.78401,                 1.0775,              0.0007328,              0.0007328,              0.0007328
                     66,                 1.6381,                0.90016,                 1.0361,                0.99125,                      1,                  0.995,                0.60927,                 1.7117,                0.75356,                 1.0786,               0.000713,               0.000713,               0.000713
                     67,                 1.7118,                0.92553,                0.97487,                0.99293,                      1,                  0.995,                0.61274,                 1.6844,                0.75209,                 1.0741,              0.0006932,              0.0006932,              0.0006932
                     68,                 1.9137,                0.95562,                 1.1142,                0.99027,                      1,                  0.995,                0.59343,                 1.6024,                0.72954,                 1.0558,              0.0006734,              0.0006734,              0.0006734
                     69,                 1.6501,                0.85245,                 1.0276,                0.99027,                      1,                  0.995,                0.59343,                 1.6024,                0.72954,                 1.0558,              0.0006536,              0.0006536,              0.0006536
                     70,                 1.5493,                0.92991,                 1.0043,                0.98695,                      1,                  0.995,                0.62016,                   1.54,                0.72979,                 1.0367,              0.0006338,              0.0006338,              0.0006338
                     71,                 1.6996,                0.85736,                 1.0484,                0.95711,                      1,                  0.995,                0.63699,                 1.4886,                0.74959,                 1.0125,               0.000614,               0.000614,               0.000614
                     72,                 1.7575,                0.89431,                 1.0359,                0.95204,                      1,                  0.995,                0.65511,                 1.4249,                0.72173,                0.99377,              0.0005942,              0.0005942,              0.0005942
                     73,                 1.8324,                0.86949,                0.99621,                0.95204,                      1,                  0.995,                0.65511,                 1.4249,                0.72173,                0.99377,              0.0005744,              0.0005744,              0.0005744
                     74,                 1.6869,                 0.9153,                 1.0239,                 0.9225,                      1,                  0.995,                0.68845,                 1.3343,                  0.745,                0.96897,              0.0005546,              0.0005546,              0.0005546
                     75,                 1.7628,                  0.794,                 1.0236,                0.97315,                      1,                  0.995,                 0.7178,                 1.3076,                0.71695,                0.96505,              0.0005348,              0.0005348,              0.0005348
